ModeloA,ModeloB,Estados Visitados,Tempo por Jogada,Profundidade
Alpha-Beta,Iterative Deepening,42,0.0007233619689941406,2
Iterative Deepening,Alpha-Beta,45,0.0009191036224365234,2
Alpha-Beta,Iterative Deepening,31,0.0005595684051513672,2
Iterative Deepening,Alpha-Beta,38,0.0007007122039794922,2
Alpha-Beta,Iterative Deepening,34,0.0005691051483154297,2
Iterative Deepening,Alpha-Beta,49,0.0009849071502685547,2
Alpha-Beta,Iterative Deepening,32,0.0005421638488769531,2
Iterative Deepening,Alpha-Beta,35,0.0006783008575439453,2
Alpha-Beta,Iterative Deepening,26,0.0006549358367919922,2
Iterative Deepening,Alpha-Beta,31,0.0005362033843994141,2
Alpha-Beta,Iterative Deepening,25,0.0005033016204833984,2
Iterative Deepening,Alpha-Beta,36,0.0007655620574951172,2
Alpha-Beta,Iterative Deepening,23,0.00048828125,2
Iterative Deepening,Alpha-Beta,21,0.00031757354736328125,2
Alpha-Beta,Iterative Deepening,18,0.00035190582275390625,2
Alpha-Beta,Iterative Deepening,174,0.0040361881256103516,3
Iterative Deepening,Alpha-Beta,280,0.004225254058837891,3
Alpha-Beta,Iterative Deepening,257,0.004269123077392578,3
Iterative Deepening,Alpha-Beta,297,0.006181955337524414,3
Alpha-Beta,Iterative Deepening,237,0.0038156509399414062,3
Iterative Deepening,Alpha-Beta,217,0.00414729118347168,3
Alpha-Beta,Iterative Deepening,129,0.0022368431091308594,3
Iterative Deepening,Alpha-Beta,164,0.0039026737213134766,3
Alpha-Beta,Iterative Deepening,78,0.0011510848999023438,3
Iterative Deepening,Alpha-Beta,63,0.0010714530944824219,3
Alpha-Beta,Iterative Deepening,117,0.0017578601837158203,3
Alpha-Beta,Iterative Deepening,913,0.015157222747802734,4
Iterative Deepening,Alpha-Beta,1127,0.018938064575195312,4
Alpha-Beta,Iterative Deepening,891,0.016500234603881836,4
Iterative Deepening,Alpha-Beta,1110,0.020693302154541016,4
Alpha-Beta,Iterative Deepening,844,0.017430782318115234,4
Iterative Deepening,Alpha-Beta,989,0.016794443130493164,4
Alpha-Beta,Iterative Deepening,490,0.01707744598388672,4
Iterative Deepening,Alpha-Beta,558,0.01012420654296875,4
Alpha-Beta,Iterative Deepening,386,0.007157087326049805,4
Iterative Deepening,Alpha-Beta,608,0.01128840446472168,4
Alpha-Beta,Iterative Deepening,376,0.007653951644897461,4
Iterative Deepening,Alpha-Beta,317,0.005965471267700195,4
Alpha-Beta,Iterative Deepening,110,0.0016925334930419922,4
Iterative Deepening,Alpha-Beta,406,0.008283853530883789,4
Alpha-Beta,Iterative Deepening,283,0.005244016647338867,4
Iterative Deepening,Alpha-Beta,518,0.011025667190551758,4
Alpha-Beta,Iterative Deepening,262,0.00450444221496582,4
Iterative Deepening,Alpha-Beta,496,0.012235879898071289,4
Alpha-Beta,Iterative Deepening,141,0.002729654312133789,4
Iterative Deepening,Alpha-Beta,252,0.004345893859863281,4
Alpha-Beta,Iterative Deepening,130,0.002410411834716797,4
Iterative Deepening,Alpha-Beta,255,0.004261493682861328,4
Alpha-Beta,Iterative Deepening,97,0.001333475112915039,4
Iterative Deepening,Alpha-Beta,154,0.0026543140411376953,4
Alpha-Beta,Iterative Deepening,101,0.0014662742614746094,4
Iterative Deepening,Alpha-Beta,155,0.0035789012908935547,4
Alpha-Beta,Iterative Deepening,96,0.0012078285217285156,4
Iterative Deepening,Alpha-Beta,149,0.002499818801879883,4
Alpha-Beta,Iterative Deepening,80,0.001148223876953125,4
Iterative Deepening,Alpha-Beta,84,0.001463174819946289,4
Alpha-Beta,Iterative Deepening,48,0.0007970333099365234,4
Iterative Deepening,Alpha-Beta,83,0.0011677742004394531,4
Alpha-Beta,Iterative Deepening,43,0.0005009174346923828,4
Iterative Deepening,Alpha-Beta,61,0.001026153564453125,4
Alpha-Beta,Iterative Deepening,15,0.0002689361572265625,4
Iterative Deepening,Alpha-Beta,35,0.0007226467132568359,4
Alpha-Beta,Iterative Deepening,14,0.00022149085998535156,4
Iterative Deepening,Alpha-Beta,12,0.00018477439880371094,4
Alpha-Beta,Iterative Deepening,4073,0.07027292251586914,5
Iterative Deepening,Alpha-Beta,3928,0.07369184494018555,5
Alpha-Beta,Iterative Deepening,2393,0.04536628723144531,5
Iterative Deepening,Alpha-Beta,3596,0.06865143775939941,5
Alpha-Beta,Iterative Deepening,3614,0.06886768341064453,5
Iterative Deepening,Alpha-Beta,3733,0.06804537773132324,5
Alpha-Beta,Iterative Deepening,2641,0.050183773040771484,5
Iterative Deepening,Alpha-Beta,4030,0.14800524711608887,5
Alpha-Beta,Iterative Deepening,3714,0.10723042488098145,5
Iterative Deepening,Alpha-Beta,4040,0.10913538932800293,5
Alpha-Beta,Iterative Deepening,5275,0.12436151504516602,5
Iterative Deepening,Alpha-Beta,6516,0.13204431533813477,5
Alpha-Beta,Iterative Deepening,5245,0.10935354232788086,5
Iterative Deepening,Alpha-Beta,6006,0.12376141548156738,5
Alpha-Beta,Iterative Deepening,5935,0.12374258041381836,5
Iterative Deepening,Alpha-Beta,7442,0.15192008018493652,5
Alpha-Beta,Iterative Deepening,3322,0.07587003707885742,5
Iterative Deepening,Alpha-Beta,4792,0.09702801704406738,5
Alpha-Beta,Iterative Deepening,4422,0.09825682640075684,5
