ModeloA,ModeloB,Estados Visitados,Tempo por Jogada,Profundidade
MinMax,Random,19608,0.358961820602417,5
MinMax,Random,19608,0.33913540840148926,5
MinMax,Random,19576,0.3551483154296875,5
MinMax,Random,19608,0.41675662994384766,5
MinMax,Random,19608,0.40656471252441406,5
MinMax,Random,19355,0.38258981704711914,5
MinMax,Random,19156,0.429903507232666,5
MinMax,Random,14746,0.28466057777404785,5
MinMax,Random,19608,0.351853609085083,5
MinMax,Random,19576,0.3644073009490967,5
MinMax,Random,18773,0.3690972328186035,5
MinMax,Random,16020,0.2960844039916992,5
MinMax,Random,9331,0.18503999710083008,5
MinMax,Random,8891,0.1643521785736084,5
MinMax,Random,8555,0.16748881340026855,5
MinMax,Random,3640,0.0734097957611084,5
MinMax,Random,3333,0.06442737579345703,5
MinMax,Random,2233,0.04116225242614746,5
MinMax,Random,1090,0.019010543823242188,5
MinMax,Random,19608,0.3526735305786133,5
MinMax,Random,18768,0.3410830497741699,5
MinMax,Random,18935,0.34074950218200684,5
MinMax,Random,14791,0.27247023582458496,5
MinMax,Random,19608,0.35035228729248047,5
MinMax,Random,19607,0.3495943546295166,5
MinMax,Random,19607,0.3842623233795166,5
MinMax,Random,19606,0.36479830741882324,5
MinMax,Random,18999,0.37005162239074707,5
MinMax,Random,14495,0.27266740798950195,5
MinMax,Random,2801,0.0482175350189209,4
MinMax,Random,2800,0.04859113693237305,4
MinMax,Random,2775,0.04999184608459473,4
MinMax,Random,2540,0.044219255447387695,4
MinMax,Random,2540,0.05274772644042969,4
MinMax,Random,2499,0.05321907997131348,4
MinMax,Random,2456,0.0552372932434082,4
MinMax,Random,1126,0.022792816162109375,4
MinMax,Random,2801,0.05308723449707031,4
MinMax,Random,2801,0.04901695251464844,4
MinMax,Random,2759,0.05095338821411133,4
MinMax,Random,2150,0.041033267974853516,4
MinMax,Random,2801,0.047673940658569336,4
MinMax,Random,2801,0.04924416542053223,4
MinMax,Random,2801,0.0549163818359375,4
MinMax,Random,2758,0.05634260177612305,4
MinMax,Random,1899,0.03367328643798828,4
MinMax,Random,400,0.005699872970581055,3
MinMax,Random,400,0.006881237030029297,3
MinMax,Random,400,0.007393836975097656,3
MinMax,Random,344,0.005215167999267578,3
MinMax,Random,400,0.006719827651977539,3
MinMax,Random,400,0.006793498992919922,3
MinMax,Random,400,0.007102489471435547,3
MinMax,Random,344,0.005944013595581055,3
MinMax,Random,400,0.007409811019897461,3
MinMax,Random,400,0.007077932357788086,3
MinMax,Random,400,0.007149457931518555,3
MinMax,Random,399,0.010630130767822266,3
MinMax,Random,338,0.012123346328735352,3
MinMax,Random,57,0.0009851455688476562,2
MinMax,Random,57,0.0009520053863525391,2
MinMax,Random,57,0.0008718967437744141,2
MinMax,Random,57,0.0009765625,2
MinMax,Random,57,0.0008704662322998047,2
MinMax,Random,57,0.0010633468627929688,2
MinMax,Random,57,0.0008685588836669922,2
MinMax,Random,57,0.00095367431640625,2
MinMax,Random,57,0.0009369850158691406,2
MinMax,Random,57,0.001069784164428711,2
MinMax,Random,50,0.0008006095886230469,2
Alpha-Beta,MinMax,42,0.0007314682006835938,2
MinMax,Alpha-Beta,57,0.0009579658508300781,2
Alpha-Beta,MinMax,31,0.0013935565948486328,2
MinMax,Alpha-Beta,57,0.0009047985076904297,2
Alpha-Beta,MinMax,34,0.0006053447723388672,2
MinMax,Alpha-Beta,56,0.0010230541229248047,2
